Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
dummy-product-title-1,dummy Product title,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[/short_description] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",rokomari,watch,"black, brown, cyan, gold, ml, partex, steel, wood, xl, xs",true,Size,xl,Color,black,Material,partex,11253501,0,shopify,11,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/24_4b5d28d5-aace-4ab0-98d8-67d1bdc27ba9.jpg?v=1505735909,1,,false,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,black,,wood,11253502,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/29_5538a5f0-dd6f-482d-b118-05156fbd5dd5.jpg?v=1505735910,2,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,black,,steel,11253503,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/1_216f38b3-47c8-4d07-a0dd-a34861f37f30.jpg?v=1505735910,3,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,brown,,partex,11253504,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/2_ceadb93a-f2c8-43e2-9e91-a99b7fbc1973.jpg?v=1505735911,4,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,brown,,wood,11253505,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/3_06d9d9d7-144d-485c-a72a-b1a9de91956e.jpg?v=1505735912,5,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,brown,,steel,11253506,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/11._cbdb25b0-f44b-4caf-ae07-201555e4999f.jpg?v=1505735913,6,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,cyan,,partex,11253507,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/22_52141419-a57d-401d-b977-b9da207882ba.jpg?v=1505735915,7,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,cyan,,wood,11253508,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,https://cdn.shopify.com/s/files/1/2300/9895/products/23_0ad3c14d-3414-4217-b962-8de4a180d435.jpg?v=1505735915,8,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,cyan,,steel,11253509,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,,,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,gold,,partex,11253510,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,,,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,gold,,wood,11253511,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,,,,,,,,,,,,,,,,,,,,,kg,
dummy-product-title-1,,,,,,,,xl,,gold,,steel,11253512,0,shopify,12,deny,manual,120.00,150.00,true,true,UPC,,,,,,,,,,,,,,,,,,,,,kg,
